::Queue started at 24-Feb-2013 10:22:29, with machine clock reading 97272.9091.::
space	194549.8024
::Onset of trial expected: [N/A SELF PACED]  recorded: 120.0825 ::
trial	120.0825
::Onset of return expected: [N/A SELF PACED]  recorded: 121.1179 ::
return	121.1179
::Onset of trial expected: [N/A SELF PACED]  recorded: 121.8692 ::
trial	121.8692
::Onset of return expected: [N/A SELF PACED]  recorded: 122.6041 ::
return	122.6041
::Onset of trial expected: [N/A SELF PACED]  recorded: 123.3556 ::
trial	123.3556
::Onset of return expected: [N/A SELF PACED]  recorded: 124.1237 ::
return	124.1237
::Onset of trial expected: [N/A SELF PACED]  recorded: 124.8751 ::
trial	124.8751
::Onset of return expected: [N/A SELF PACED]  recorded: 125.777 ::
return	125.7770
::Onset of trial expected: [N/A SELF PACED]  recorded: 126.5285 ::
trial	126.5285
::Onset of return expected: [N/A SELF PACED]  recorded: 127.2632 ::
return	127.2632
::Onset of trial expected: [N/A SELF PACED]  recorded: 128.0146 ::
trial	128.0146
::Onset of return expected: [N/A SELF PACED]  recorded: 129.1835 ::
return	129.1835
::Onset of trial expected: [N/A SELF PACED]  recorded: 129.935 ::
trial	129.9350
::Onset of return expected: [N/A SELF PACED]  recorded: 130.6698 ::
return	130.6698
::Onset of trial expected: [N/A SELF PACED]  recorded: 131.4213 ::
trial	131.4213
::Onset of return expected: [N/A SELF PACED]  recorded: 132.1727 ::
return	132.1727
::Onset of trial expected: [N/A SELF PACED]  recorded: 132.9074 ::
trial	132.9074
::Onset of return expected: [N/A SELF PACED]  recorded: 133.6589 ::
return	133.6589
::Onset of trial expected: [N/A SELF PACED]  recorded: 134.3938 ::
trial	134.3938
::Onset of return expected: [N/A SELF PACED]  recorded: 135.1952 ::
return	135.1952
::Onset of trial expected: [N/A SELF PACED]  recorded: 135.9468 ::
trial	135.9468
::Onset of return expected: [N/A SELF PACED]  recorded: 136.815 ::
return	136.8150
::Onset of trial expected: [N/A SELF PACED]  recorded: 137.5665 ::
trial	137.5665
::Onset of return expected: [N/A SELF PACED]  recorded: 138.4015 ::
return	138.4015
::Onset of trial expected: [N/A SELF PACED]  recorded: 139.1529 ::
trial	139.1529
::Onset of return expected: [N/A SELF PACED]  recorded: 139.8878 ::
return	139.8878
::Onset of trial expected: [N/A SELF PACED]  recorded: 140.6392 ::
trial	140.6392
::Onset of return expected: [N/A SELF PACED]  recorded: 141.3906 ::
return	141.3906
::Onset of trial expected: [N/A SELF PACED]  recorded: 142.1255 ::
trial	142.1255
::Onset of return expected: [N/A SELF PACED]  recorded: 142.9602 ::
return	142.9602
::Onset of trial expected: [N/A SELF PACED]  recorded: 143.7119 ::
trial	143.7119
::Onset of return expected: [N/A SELF PACED]  recorded: 144.4465 ::
return	144.4465
::Onset of trial expected: [N/A SELF PACED]  recorded: 145.198 ::
trial	145.1980
::Onset of return expected: [N/A SELF PACED]  recorded: 145.9327 ::
return	145.9327
::Onset of trial expected: [N/A SELF PACED]  recorded: 146.6842 ::
trial	146.6842
::Onset of return expected: [N/A SELF PACED]  recorded: 147.4358 ::
return	147.4358
::Onset of trial expected: [N/A SELF PACED]  recorded: 148.1706 ::
trial	148.1706
::Onset of return expected: [N/A SELF PACED]  recorded: 148.922 ::
return	148.9220
::Onset of trial expected: [N/A SELF PACED]  recorded: 149.6567 ::
trial	149.6567
::Onset of return expected: [N/A SELF PACED]  recorded: 150.8757 ::
return	150.8757
::Onset of trial expected: [N/A SELF PACED]  recorded: 151.6272 ::
trial	151.6272
::Onset of return expected: [N/A SELF PACED]  recorded: 152.3786 ::
return	152.3786
::Onset of trial expected: [N/A SELF PACED]  recorded: 153.1133 ::
trial	153.1133
::Onset of return expected: [N/A SELF PACED]  recorded: 153.8649 ::
return	153.8649
::Onset of trial expected: [N/A SELF PACED]  recorded: 154.5996 ::
trial	154.5996
::Onset of return expected: [N/A SELF PACED]  recorded: 155.3344 ::
return	155.3344
