::Queue started at 07-Feb-2013 16:41:44, with machine clock reading 659589.442.::
::Experiment started at 07-Feb-2013 16:55:30, with machine clock reading 660414.5141.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
space	1320829.0104
::Onset of return expected: [N/A SELF PACED]  recorded: 109.658 ::
return	109.6580
::Onset of trial expected: [N/A SELF PACED]  recorded: 110.526 ::
trial	110.5260
::Onset of return expected: [N/A SELF PACED]  recorded: 111.359 ::
return	111.3590
::Onset of trial expected: [N/A SELF PACED]  recorded: 111.9921 ::
trial	111.9921
::Onset of return expected: [N/A SELF PACED]  recorded: 112.8257 ::
return	112.8257
::Onset of trial expected: [N/A SELF PACED]  recorded: 113.5421 ::
trial	113.5421
::Onset of return expected: [N/A SELF PACED]  recorded: 114.6253 ::
return	114.6253
::Onset of trial expected: [N/A SELF PACED]  recorded: 115.3428 ::
trial	115.3428
::Onset of return expected: [N/A SELF PACED]  recorded: 116.6928 ::
return	116.6928
::Onset of trial expected: [N/A SELF PACED]  recorded: 117.4094 ::
trial	117.4094
::Onset of return expected: [N/A SELF PACED]  recorded: 119.2435 ::
return	119.2435
::Onset of trial expected: [N/A SELF PACED]  recorded: 119.9603 ::
trial	119.9603
::Onset of return expected: [N/A SELF PACED]  recorded: 121.0442 ::
return	121.0442
::Onset of trial expected: [N/A SELF PACED]  recorded: 121.7599 ::
trial	121.7599
::Onset of return expected: [N/A SELF PACED]  recorded: 123.3108 ::
return	123.3108
::Onset of trial expected: [N/A SELF PACED]  recorded: 123.9445 ::
trial	123.9445
::Onset of return expected: [N/A SELF PACED]  recorded: 125.3609 ::
return	125.3609
::Onset of trial expected: [N/A SELF PACED]  recorded: 126.0773 ::
trial	126.0773
::Onset of return expected: [N/A SELF PACED]  recorded: 127.4445 ::
return	127.4445
::Onset of rest expected: [N/A SELF PACED]  recorded: 128.1619 ::
rest	128.1619
