Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
17	2	2	6.177801e-01	-6.843912e-02	3.971446e+00	4.027954e+02	6.952148e+00	100	1	1
18	2	4	5.016327e-01	-7.107542e-02	1.488190e+00	1.415437e+02	6.771484e+00	100	1	1
19	2	1	4.169314e-01	-1.571117e-02	6.164311e-01	6.129998e+01	1.562500e+00	100	1	1
20	2	3	4.668505e-01	-1.511934e-01	1.042807e+01	9.804936e+02	1.432520e+01	9.002815e+01	0	1
21	2	4	5.836715e-01	-1.649109e-01	4.702043e+00	4.415191e+02	1.562695e+01	100	0	1
22	2	2	6.840332e-01	-8.480536e-02	5.086928e+00	4.831588e+02	8.334961e+00	9.506477e+01	1	1
23	2	3	6.341873e-01	-1.514716e-01	8.489568e+00	8.010289e+02	1.440234e+01	100	0	1
24	2	1	9.003128e-01	-5.344055e-02	2.190943e+00	2.097935e+02	5.642578e+00	8.939145e+01	1	1
25	2	2	7.674574e-01	5.460732e-03	9.826144e-01	9.366024e+01	1.302734e+00	2.840838e+01	1	1
26	2	4	5.173488e-01	-1.692992e-02	1.062275e+00	1.028094e+02	1.638672e+00	7.012764e+01	1	1
27	2	1	1.201401e+00	-4.324055e-02	3.490112e+00	3.361244e+02	4.948242e+00	8.573094e+01	1	1
28	2	3	6.680483e-01	-1.531190e-02	1.934516e+00	1.865353e+02	2.431641e+00	3.616200e+01	1	1
29	2	4	6.333941e-01	-1.911652e-02	3.880332e-01	3.698441e+01	1.822266e+00	9.890676e+01	1	1
30	2	2	5.672636e-01	-5.089156e-02	9.006766e-01	8.597855e+01	4.862305e+00	9.809005e+01	1	1
31	2	3	7.667201e-01	3.638733e-03	4.733606e-01	4.509916e+01	5.205078e-01	9.872490e+01	1	1
32	2	1	4.839792e-01	-1.324794e-01	6.692982e+00	6.409576e+02	1.276172e+01	9.537649e+01	1	1
33	2	2	1.283224e+00	-4.875156e-02	5.078200e+00	4.970338e+02	7.120117e+00	8.986381e+01	1	1
34	2	4	6.181369e-01	5.480803e-03	2.237039e+00	2.128464e+02	5.208984e+00	5.866468e+01	1	1
35	2	1	1.033751e+00	-3.739212e-02	2.044625e+00	2.010582e+02	3.819336e+00	9.584984e+01	1	1
36	2	3	6.340241e-01	-2.046421e-02	1.537615e+00	1.492988e+02	1.987305e+00	7.389166e+01	1	1
37	2	4	6.512706e-01	-5.284400e-02	2.137643e+00	2.070049e+02	5.122070e+00	100	1	1
38	2	2	6.674344e-01	8.106589e-03	2.251384e+00	2.169661e+02	3.472656e+00	7.090076e+01	1	1
39	2	3	7.347085e-01	-1.077442e-02	1.385145e+00	1.339519e+02	1.823242e+00	4.496652e+01	1	1
40	2	1	6.675913e-01	-2.808365e-02	1.870848e+00	1.791812e+02	3.732422e+00	7.634133e+01	1	1
41	2	2	6.846609e-01	1.089012e-02	2.474068e-01	2.364934e+01	1.041016e+00	100	1	1
42	2	4	7.177944e-01	-5.580616e-02	1.031549e+00	9.937721e+01	5.381836e+00	100	1	1
43	2	1	9.339800e-01	3.644015e-03	7.244923e-01	6.911968e+01	8.691406e-01	5.094990e+01	1	1
44	2	3	6.343120e-01	-6.838971e-02	4.604475e+00	4.377308e+02	6.511719e+00	7.890455e+01	1	1
45	2	4	5.515055e-01	-6.214079e-03	3.774834e-01	3.689826e+01	6.074219e-01	100	1	1
46	2	2	5.009526e-01	-7.945290e-02	5.959720e+00	6.238849e+02	8.334961e+00	7.636386e+01	1	1
47	2	3	5.672361e-01	2.469537e-02	1.294058e+00	1.364499e+02	2.604492e+00	100	1	1
48	2	1	4.516956e-01	-6.384430e-02	2.480917e+00	2.526562e+02	6.510742e+00	100	1	1
49	2	2	5.018430e-01	-5.417825e-02	4.458650e+00	4.354847e+02	5.296875e+00	5.866661e+01	1	1
50	2	4	4.679012e-01	2.484771e-02	2.405821e+00	2.773625e+02	2.865234e+00	100	1	1
51	2	1	5.009857e-01	-2.342942e-02	1.999156e+00	2.008645e+02	2.855469e+00	3.908112e+01	1	1
52	2	3	4.175274e-01	-5.095721e-02	3.981820e+00	3.999707e+02	5.123047e+00	6.992222e+01	1	1
53	2	4	5.005430e-01	1.783205e-02	1.419667e+00	1.451388e+02	1.823242e+00	100	1	1
54	2	2	4.172227e-01	-1.023736e-01	8.104186e+00	8.615842e+02	1.092187e+01	8.162587e+01	1	1
55	2	3	5.681741e-01	-1.348593e-01	1.016576e+01	9.684378e+02	1.292578e+01	8.468903e+01	1	1
56	2	1	4.500730e-01	-2.550458e-02	1.343497e+00	1.382464e+02	2.625000e+00	100	1	1
57	2	2	4.837607e-01	2.422792e-03	2.469503e-01	2.573950e+01	2.500000e-01	100	1	1
58	2	4	3.845650e-01	6.375346e-02	5.189189e+00	5.081858e+02	6.251953e+00	100	1	1
59	2	1	5.179681e-01	9.197258e-02	8.588891e+00	9.216702e+02	9.897461e+00	100	1	1
60	2	3	4.837869e-01	-8.432698e-02	6.888607e+00	6.783865e+02	8.324219e+00	6.464802e+01	1	1
61	2	4	4.336557e-01	1.353504e-02	3.991234e-01	3.841290e+01	1.302734e+00	100	1	1
