Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
88	2	1	-1.477457e-02	1.570796e+00	1.001957e+02	2.038589e-12	1.001957e+02	100	0	1
88	0	1	-1.620950e-02	0	0	0	0	0	1	0
89	2	2	-1.443597e-02	5.073767e-02	5.081515e+00	5.084907e+02	5.081515e+00	100	1	1
89	0	2	-1.397012e-02	0	1.956947e-01	4.689959e-18	1.956947e-01	100	1	0
90	2	4	-1.487988e-02	-5.083679e-02	5.081489e+00	5.074924e+02	5.081489e+00	100	1	1
90	0	4	-1.460021e-02	0	5.870841e-01	8.441926e-17	5.870841e-01	100	1	0
91	2	1	-1.608458e-02	1.654584e+00	9.984419e+01	8.372287e+02	9.984419e+01	100	0	1
91	0	1	-1.445479e-02	0	0	0	0	0	1	0
92	2	3	-1.435588e-02	1.570796e+00	100	1.836970e-12	100	100	0	1
92	0	3	-1.491466e-02	0	1.078456e-16	6.331445e-17	1.078456e-16	100	1	0
93	2	4	-1.416747e-02	-3.079174e+00	6.250036e+00	6.250071e+02	6.250036e+00	100	0	1
93	0	4	-1.476026e-02	0	0	0	0	0	1	0
94	2	2	-1.576640e-02	3.086853e+00	5.471245e+00	5.463050e+02	5.471245e+00	100	0	1
94	0	2	-1.450354e-02	0	4.500978e+00	2.480988e-15	4.500978e+00	100	1	0
95	2	3	3.542504e-02	-1.529804e+00	7.697905e+01	3.160865e+02	1.001115e+02	100	0	1
95	0	3	-1.617720e-02	0	7.549193e-16	3.102408e-15	7.549193e-16	100	1	0
96	2	1	-1.466206e-02	-1.451207e+00	9.539983e+01	1.093618e+03	9.539983e+01	1.000000e+02	0	1
96	0	1	-1.463854e-02	0	1.677598e-16	4.596160e-16	1.677598e-16	100	1	0
97	2	2	8.483253e-02	-1.570796e+00	6.459883e+01	7.740777e-13	9.784736e+01	100	0	1
97	0	2	1.715072e-02	0	5.060106e+00	3.395530e-15	5.088063e+00	9.285714e+01	1	0
98	2	4	1.970120e-03	-1.568796e+00	9.784716e+01	1.914813e+01	9.784716e+01	100	0	1
98	0	4	-1.452616e-02	0	3.131115e+00	2.401259e-15	3.131115e+00	100	1	0
99	2	1	-1.571462e-02	-1.570796e+00	100	6.123234e-13	100	100	0	1
99	0	1	-1.470543e-02	0	1.930321e-01	2.235683e-01	1.930321e-01	100	1	0
100	2	3	-1.535110e-02	1.570796e+00	100	1.836970e-12	100	100	0	1
100	0	3	-1.456267e-02	0	1.937279e-01	2.627135e-01	1.937279e-01	100	1	0
101	2	4	-1.451514e-02	-4.825226e-02	4.691207e+00	4.557370e+02	4.691207e+00	100	1	1
101	0	4	-1.444453e-02	0	5.870841e-01	8.441926e-17	5.870841e-01	100	1	0
102	2	2	-1.585897e-02	3.108337e+00	3.324971e+00	3.323132e+02	3.324971e+00	1.000000e+02	0	1
102	0	2	-1.608931e-02	0	3.326810e+00	1.355398e-15	3.326810e+00	100	1	0
103	2	3	-1.452701e-02	1.498515e+00	9.973889e+01	7.202941e+02	9.973889e+01	100	0	1
103	0	3	-1.450819e-02	0	8.627649e-16	4.052125e-15	8.627649e-16	100	1	0
104	2	1	-1.434807e-02	-1.627487e+00	9.983935e+01	5.656927e+02	9.983935e+01	1.000000e+02	0	1
104	0	1	-1.529108e-02	0	8.387992e-17	1.149040e-16	8.387992e-17	100	1	0
105	2	2	-1.446959e-02	3.082952e+00	5.860750e+00	5.850676e+02	5.860750e+00	100	0	1
105	0	2	-1.616523e-02	0	2.935421e+00	1.055241e-15	2.935421e+00	100	1	0
