::Queue started at 27-Feb-2013 11:40:20, with machine clock reading 2714.2293.::
::Experiment started at 27-Feb-2013 11:40:24, with machine clock reading 2717.992.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	5435.9701
::Onset of trial expected: [N/A SELF PACED]  recorded: 169.5759 ::
trial	169.5759
::Onset of return expected: [N/A SELF PACED]  recorded: 172.375 ::
return	172.3750
::Onset of trial expected: [N/A SELF PACED]  recorded: 174.4576 ::
trial	174.4576
::Onset of return expected: [N/A SELF PACED]  recorded: 175.8071 ::
return	175.8071
::Onset of trial expected: [N/A SELF PACED]  recorded: 176.8068 ::
trial	176.8068
::Onset of return expected: [N/A SELF PACED]  recorded: 178.0231 ::
return	178.0231
::Onset of trial expected: [N/A SELF PACED]  recorded: 178.7395 ::
trial	178.7395
::Onset of return expected: [N/A SELF PACED]  recorded: 180.4558 ::
return	180.4558
::Onset of trial expected: [N/A SELF PACED]  recorded: 181.1727 ::
trial	181.1727
::Onset of return expected: [N/A SELF PACED]  recorded: 182.7562 ::
return	182.7562
::Onset of trial expected: [N/A SELF PACED]  recorded: 183.7897 ::
trial	183.7897
::Onset of return expected: [N/A SELF PACED]  recorded: 186.9401 ::
return	186.9401
::Onset of trial expected: [N/A SELF PACED]  recorded: 188.1236 ::
trial	188.1236
::Onset of return expected: [N/A SELF PACED]  recorded: 189.3906 ::
return	189.3906
::Onset of trial expected: [N/A SELF PACED]  recorded: 190.3407 ::
trial	190.3407
::Onset of return expected: [N/A SELF PACED]  recorded: 191.7076 ::
return	191.7076
::Onset of trial expected: [N/A SELF PACED]  recorded: 192.4244 ::
trial	192.4244
::Onset of return expected: [N/A SELF PACED]  recorded: 193.9579 ::
return	193.9579
::Onset of trial expected: [N/A SELF PACED]  recorded: 195.3248 ::
trial	195.3248
::Onset of return expected: [N/A SELF PACED]  recorded: 197.2751 ::
return	197.2751
::Onset of trial expected: [N/A SELF PACED]  recorded: 198.0752 ::
trial	198.0752
::Onset of return expected: [N/A SELF PACED]  recorded: 199.6659 ::
return	199.6659
::Onset of trial expected: [N/A SELF PACED]  recorded: 200.3822 ::
trial	200.3822
::Onset of return expected: [N/A SELF PACED]  recorded: 201.7318 ::
return	201.7318
::Onset of rest expected: [N/A SELF PACED]  recorded: 202.548 ::
rest	202.5480
::Onset of cue expected: [N/A SELF PACED]  recorded: 214.5778 ::
cue	214.5778
::Onset of trial expected: [N/A SELF PACED]  recorded: 215.1111 ::
trial	215.1111
::Onset of return expected: [N/A SELF PACED]  recorded: 215.2445 ::
return	215.2445
::Onset of trial expected: [N/A SELF PACED]  recorded: 216.6614 ::
trial	216.6614
::Onset of return expected: [N/A SELF PACED]  recorded: 217.8616 ::
return	217.8616
::Onset of trial expected: [N/A SELF PACED]  recorded: 218.8451 ::
trial	218.8451
::Onset of return expected: [N/A SELF PACED]  recorded: 221.1788 ::
return	221.1788
::Onset of trial expected: [N/A SELF PACED]  recorded: 222.329 ::
trial	222.3290
::Onset of return expected: [N/A SELF PACED]  recorded: 223.9293 ::
return	223.9293
::Onset of trial expected: [N/A SELF PACED]  recorded: 224.8293 ::
trial	224.8293
::Onset of return expected: [N/A SELF PACED]  recorded: 225.8961 ::
return	225.8961
::Onset of trial expected: [N/A SELF PACED]  recorded: 227.0463 ::
trial	227.0463
::Onset of return expected: [N/A SELF PACED]  recorded: 228.7465 ::
return	228.7465
::Onset of trial expected: [N/A SELF PACED]  recorded: 229.7134 ::
trial	229.7134
::Onset of return expected: [N/A SELF PACED]  recorded: 231.1552 ::
return	231.1552
::Onset of trial expected: [N/A SELF PACED]  recorded: 232.1881 ::
trial	232.1881
::Onset of return expected: [N/A SELF PACED]  recorded: 234.1037 ::
return	234.1037
::Onset of trial expected: [N/A SELF PACED]  recorded: 235.2031 ::
trial	235.2031
::Onset of return expected: [N/A SELF PACED]  recorded: 236.3528 ::
return	236.3528
::Onset of trial expected: [N/A SELF PACED]  recorded: 237.2193 ::
trial	237.2193
::Onset of return expected: [N/A SELF PACED]  recorded: 238.3356 ::
return	238.3356
::Onset of trial expected: [N/A SELF PACED]  recorded: 239.2351 ::
trial	239.2351
::Onset of return expected: [N/A SELF PACED]  recorded: 241.1679 ::
return	241.1679
::Onset of trial expected: [N/A SELF PACED]  recorded: 242.3842 ::
trial	242.3842
::Onset of return expected: [N/A SELF PACED]  recorded: 243.4671 ::
return	243.4671
::Onset of trial expected: [N/A SELF PACED]  recorded: 244.1835 ::
trial	244.1835
::Onset of return expected: [N/A SELF PACED]  recorded: 245.4331 ::
return	245.4331
::Onset of trial expected: [N/A SELF PACED]  recorded: 246.3994 ::
trial	246.3994
::Onset of return expected: [N/A SELF PACED]  recorded: 248.1157 ::
return	248.1157
::Onset of trial expected: [N/A SELF PACED]  recorded: 248.9324 ::
trial	248.9324
::Onset of return expected: [N/A SELF PACED]  recorded: 250.8662 ::
return	250.8662
::Onset of trial expected: [N/A SELF PACED]  recorded: 252.1168 ::
trial	252.1168
::Onset of return expected: [N/A SELF PACED]  recorded: 253.3337 ::
return	253.3337
::Onset of trial expected: [N/A SELF PACED]  recorded: 254.1672 ::
trial	254.1672
::Onset of return expected: [N/A SELF PACED]  recorded: 255.8674 ::
return	255.8674
::Onset of trial expected: [N/A SELF PACED]  recorded: 256.5842 ::
trial	256.5842
::Onset of return expected: [N/A SELF PACED]  recorded: 257.5343 ::
return	257.5343
::Onset of trial expected: [N/A SELF PACED]  recorded: 258.4345 ::
trial	258.4345
::Onset of return expected: [N/A SELF PACED]  recorded: 259.8346 ::
return	259.8346
::Onset of trial expected: [N/A SELF PACED]  recorded: 260.8015 ::
trial	260.8015
::Onset of return expected: [N/A SELF PACED]  recorded: 261.7683 ::
return	261.7683
::Onset of trial expected: [N/A SELF PACED]  recorded: 262.4851 ::
trial	262.4851
::Onset of return expected: [N/A SELF PACED]  recorded: 263.552 ::
return	263.5520
::Onset of trial expected: [N/A SELF PACED]  recorded: 264.3353 ::
trial	264.3353
::Onset of return expected: [N/A SELF PACED]  recorded: 265.2688 ::
return	265.2688
::Onset of trial expected: [N/A SELF PACED]  recorded: 266.1024 ::
trial	266.1024
::Onset of return expected: [N/A SELF PACED]  recorded: 267.7762 ::
return	267.7762
::Onset of trial expected: [N/A SELF PACED]  recorded: 268.4926 ::
trial	268.4926
::Onset of return expected: [N/A SELF PACED]  recorded: 270.6414 ::
return	270.6414
::Onset of trial expected: [N/A SELF PACED]  recorded: 272.6407 ::
trial	272.6407
::Onset of return expected: [N/A SELF PACED]  recorded: 274.4567 ::
return	274.4567
::Onset of trial expected: [N/A SELF PACED]  recorded: 275.4736 ::
trial	275.4736
::Onset of return expected: [N/A SELF PACED]  recorded: 277.0225 ::
return	277.0225
::Onset of trial expected: [N/A SELF PACED]  recorded: 277.7722 ::
trial	277.7722
::Onset of return expected: [N/A SELF PACED]  recorded: 280.4714 ::
return	280.4714
::Onset of trial expected: [N/A SELF PACED]  recorded: 281.8214 ::
trial	281.8214
::Onset of return expected: [N/A SELF PACED]  recorded: 282.7209 ::
return	282.7209
::Onset of trial expected: [N/A SELF PACED]  recorded: 283.4878 ::
trial	283.4878
::Onset of return expected: [N/A SELF PACED]  recorded: 284.8219 ::
return	284.8219
::Onset of trial expected: [N/A SELF PACED]  recorded: 285.5553 ::
trial	285.5553
::Onset of return expected: [N/A SELF PACED]  recorded: 288.9558 ::
return	288.9558
::Onset of trial expected: [N/A SELF PACED]  recorded: 290.056 ::
trial	290.0560
::Onset of return expected: [N/A SELF PACED]  recorded: 292.1063 ::
return	292.1063
::Onset of trial expected: [N/A SELF PACED]  recorded: 293.4232 ::
trial	293.4232
::Onset of return expected: [N/A SELF PACED]  recorded: 294.7733 ::
return	294.7733
::Onset of trial expected: [N/A SELF PACED]  recorded: 295.6235 ::
trial	295.6235
::Onset of return expected: [N/A SELF PACED]  recorded: 297.1403 ::
return	297.1403
::Onset of trial expected: [N/A SELF PACED]  recorded: 298.1239 ::
trial	298.1239
::Onset of return expected: [N/A SELF PACED]  recorded: 299.6654 ::
return	299.6654
::Onset of trial expected: [N/A SELF PACED]  recorded: 300.382 ::
trial	300.3820
::Onset of return expected: [N/A SELF PACED]  recorded: 301.5982 ::
return	301.5982
::Onset of trial expected: [N/A SELF PACED]  recorded: 302.3146 ::
trial	302.3146
::Onset of return expected: [N/A SELF PACED]  recorded: 303.8474 ::
return	303.8474
::Onset of trial expected: [N/A SELF PACED]  recorded: 305.2135 ::
trial	305.2135
::Onset of return expected: [N/A SELF PACED]  recorded: 307.3628 ::
return	307.3628
::Onset of trial expected: [N/A SELF PACED]  recorded: 308.2292 ::
trial	308.2292
::Onset of return expected: [N/A SELF PACED]  recorded: 309.5122 ::
return	309.5122
::Onset of trial expected: [N/A SELF PACED]  recorded: 310.2285 ::
trial	310.2285
::Onset of return expected: [N/A SELF PACED]  recorded: 311.2448 ::
return	311.2448
::Onset of trial expected: [N/A SELF PACED]  recorded: 312.1613 ::
trial	312.1613
::Onset of return expected: [N/A SELF PACED]  recorded: 314.094 ::
return	314.0940
::Onset of trial expected: [N/A SELF PACED]  recorded: 315.4436 ::
trial	315.4436
::Onset of return expected: [N/A SELF PACED]  recorded: 316.46 ::
return	316.4600
::Onset of trial expected: [N/A SELF PACED]  recorded: 317.3769 ::
trial	317.3769
::Onset of return expected: [N/A SELF PACED]  recorded: 318.5437 ::
return	318.5437
::Onset of trial expected: [N/A SELF PACED]  recorded: 319.4772 ::
trial	319.4772
::Onset of return expected: [N/A SELF PACED]  recorded: 320.5941 ::
return	320.5941
::Onset of trial expected: [N/A SELF PACED]  recorded: 321.3108 ::
trial	321.3108
::Onset of return expected: [N/A SELF PACED]  recorded: 323.2278 ::
return	323.2278
::Onset of trial expected: [N/A SELF PACED]  recorded: 324.1946 ::
trial	324.1946
::Onset of return expected: [N/A SELF PACED]  recorded: 326.1115 ::
return	326.1115
::Onset of trial expected: [N/A SELF PACED]  recorded: 326.8283 ::
trial	326.8283
::Onset of return expected: [N/A SELF PACED]  recorded: 328.0286 ::
return	328.0286
::Onset of trial expected: [N/A SELF PACED]  recorded: 328.7453 ::
trial	328.7453
::Onset of return expected: [N/A SELF PACED]  recorded: 329.6621 ::
return	329.6621
::Onset of trial expected: [N/A SELF PACED]  recorded: 330.4289 ::
trial	330.4289
::Onset of return expected: [N/A SELF PACED]  recorded: 332.3459 ::
return	332.3459
::Onset of rest expected: [N/A SELF PACED]  recorded: 333.7373 ::
rest	333.7373
::Onset of cue expected: [N/A SELF PACED]  recorded: 345.7666 ::
cue	345.7666
::Onset of trial expected: [N/A SELF PACED]  recorded: 346.2998 ::
trial	346.2998
::Onset of return expected: [N/A SELF PACED]  recorded: 347.8991 ::
return	347.8991
::Onset of trial expected: [N/A SELF PACED]  recorded: 348.8989 ::
trial	348.8989
::Onset of return expected: [N/A SELF PACED]  recorded: 349.782 ::
return	349.7820
::Onset of trial expected: [N/A SELF PACED]  recorded: 350.4819 ::
trial	350.4819
::Onset of return expected: [N/A SELF PACED]  recorded: 352.2656 ::
return	352.2656
::Onset of trial expected: [N/A SELF PACED]  recorded: 352.9824 ::
trial	352.9824
::Onset of return expected: [N/A SELF PACED]  recorded: 355.566 ::
return	355.5660
::Onset of trial expected: [N/A SELF PACED]  recorded: 356.6829 ::
trial	356.6829
::Onset of return expected: [N/A SELF PACED]  recorded: 358.0331 ::
return	358.0331
::Onset of trial expected: [N/A SELF PACED]  recorded: 358.7665 ::
trial	358.7665
::Onset of return expected: [N/A SELF PACED]  recorded: 360.0833 ::
return	360.0833
::Onset of trial expected: [N/A SELF PACED]  recorded: 360.9002 ::
trial	360.9002
::Onset of return expected: [N/A SELF PACED]  recorded: 363.8173 ::
return	363.8173
::Onset of trial expected: [N/A SELF PACED]  recorded: 365.2342 ::
trial	365.2342
::Onset of return expected: [N/A SELF PACED]  recorded: 368.209 ::
return	368.2090
::Onset of trial expected: [N/A SELF PACED]  recorded: 369.9752 ::
trial	369.9752
::Onset of return expected: [N/A SELF PACED]  recorded: 371.7744 ::
return	371.7744
::Onset of trial expected: [N/A SELF PACED]  recorded: 372.4909 ::
trial	372.4909
::Onset of return expected: [N/A SELF PACED]  recorded: 374.557 ::
return	374.5570
::Onset of trial expected: [N/A SELF PACED]  recorded: 376.389 ::
trial	376.3890
::Onset of return expected: [N/A SELF PACED]  recorded: 378.7049 ::
return	378.7049
::Onset of trial expected: [N/A SELF PACED]  recorded: 379.7046 ::
trial	379.7046
::Onset of return expected: [N/A SELF PACED]  recorded: 382.387 ::
return	382.3870
::Onset of trial expected: [N/A SELF PACED]  recorded: 383.3034 ::
trial	383.3034
