::Queue started at 28-Jan-2013 13:58:54, with machine clock reading 445078.3056.::
::Experiment started at 28-Jan-2013 13:58:55, with machine clock reading 445078.9117.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	890157.7901
::Onset of return expected: [N/A SELF PACED]  recorded: 97.2793 ::
return	97.2793
::Onset of trial expected: [N/A SELF PACED]  recorded: 97.9955 ::
trial	97.9955
::Onset of return expected: [N/A SELF PACED]  recorded: 99.4794 ::
return	99.4794
::Onset of trial expected: [N/A SELF PACED]  recorded: 100.1963 ::
trial	100.1963
::Onset of return expected: [N/A SELF PACED]  recorded: 101.2629 ::
return	101.2629
::Onset of trial expected: [N/A SELF PACED]  recorded: 101.9801 ::
trial	101.9801
::Onset of return expected: [N/A SELF PACED]  recorded: 103.0972 ::
return	103.0972
::Onset of trial expected: [N/A SELF PACED]  recorded: 104.9964 ::
trial	104.9964
::Onset of return expected: [N/A SELF PACED]  recorded: 106.0477 ::
return	106.0477
::Onset of trial expected: [N/A SELF PACED]  recorded: 106.7642 ::
trial	106.7642
::Onset of return expected: [N/A SELF PACED]  recorded: 107.7804 ::
return	107.7804
::Onset of trial expected: [N/A SELF PACED]  recorded: 108.4979 ::
trial	108.4979
::Onset of return expected: [N/A SELF PACED]  recorded: 109.4813 ::
return	109.4813
::Onset of rest expected: [N/A SELF PACED]  recorded: 110.1646 ::
rest	110.1646
::Onset of cue expected: [N/A SELF PACED]  recorded: 122.1833 ::
cue	122.1833
::Onset of trial expected: [N/A SELF PACED]  recorded: 122.7164 ::
trial	122.7164
::Onset of return expected: [N/A SELF PACED]  recorded: 125.7663 ::
return	125.7663
::Onset of trial expected: [N/A SELF PACED]  recorded: 126.7338 ::
trial	126.7338
::Onset of return expected: [N/A SELF PACED]  recorded: 127.5501 ::
return	127.5501
::Onset of trial expected: [N/A SELF PACED]  recorded: 128.4338 ::
trial	128.4338
::Onset of return expected: [N/A SELF PACED]  recorded: 129.2003 ::
return	129.2003
::Onset of trial expected: [N/A SELF PACED]  recorded: 130.0003 ::
trial	130.0003
::Onset of return expected: [N/A SELF PACED]  recorded: 130.7173 ::
return	130.7173
::Onset of trial expected: [N/A SELF PACED]  recorded: 131.3504 ::
trial	131.3504
::Onset of return expected: [N/A SELF PACED]  recorded: 132.1013 ::
return	132.1013
::Onset of trial expected: [N/A SELF PACED]  recorded: 132.7847 ::
trial	132.7847
::Onset of return expected: [N/A SELF PACED]  recorded: 133.5517 ::
return	133.5517
::Onset of trial expected: [N/A SELF PACED]  recorded: 134.2188 ::
trial	134.2188
::Onset of return expected: [N/A SELF PACED]  recorded: 134.9352 ::
return	134.9352
::Onset of trial expected: [N/A SELF PACED]  recorded: 135.6187 ::
trial	135.6187
::Onset of return expected: [N/A SELF PACED]  recorded: 136.4011 ::
return	136.4011
::Onset of trial expected: [N/A SELF PACED]  recorded: 137.1186 ::
trial	137.1186
::Onset of return expected: [N/A SELF PACED]  recorded: 137.8351 ::
return	137.8351
::Onset of trial expected: [N/A SELF PACED]  recorded: 138.4681 ::
trial	138.4681
::Onset of return expected: [N/A SELF PACED]  recorded: 139.2356 ::
return	139.2356
::Onset of trial expected: [N/A SELF PACED]  recorded: 139.9516 ::
trial	139.9516
::Onset of return expected: [N/A SELF PACED]  recorded: 140.669 ::
return	140.6690
::Onset of trial expected: [N/A SELF PACED]  recorded: 141.303 ::
trial	141.3030
::Onset of return expected: [N/A SELF PACED]  recorded: 142.0364 ::
return	142.0364
::Onset of trial expected: [N/A SELF PACED]  recorded: 142.7686 ::
trial	142.7686
::Onset of return expected: [N/A SELF PACED]  recorded: 143.5866 ::
return	143.5866
::Onset of trial expected: [N/A SELF PACED]  recorded: 144.3035 ::
trial	144.3035
::Onset of return expected: [N/A SELF PACED]  recorded: 145.1027 ::
return	145.1027
::Onset of trial expected: [N/A SELF PACED]  recorded: 145.8529 ::
trial	145.8529
::Onset of return expected: [N/A SELF PACED]  recorded: 146.5701 ::
return	146.5701
::Onset of trial expected: [N/A SELF PACED]  recorded: 147.2202 ::
trial	147.2202
::Onset of return expected: [N/A SELF PACED]  recorded: 147.9868 ::
return	147.9868
::Onset of rest expected: [N/A SELF PACED]  recorded: 148.687 ::
rest	148.6870
::Onset of cue expected: [N/A SELF PACED]  recorded: 160.7053 ::
cue	160.7053
::Onset of trial expected: [N/A SELF PACED]  recorded: 161.2214 ::
trial	161.2214
::Onset of return expected: [N/A SELF PACED]  recorded: 162.5384 ::
return	162.5384
::Onset of trial expected: [N/A SELF PACED]  recorded: 163.1885 ::
trial	163.1885
::Onset of return expected: [N/A SELF PACED]  recorded: 163.9063 ::
return	163.9063
::Onset of trial expected: [N/A SELF PACED]  recorded: 164.5396 ::
trial	164.5396
::Onset of return expected: [N/A SELF PACED]  recorded: 165.256 ::
return	165.2560
::Onset of trial expected: [N/A SELF PACED]  recorded: 165.8893 ::
trial	165.8893
::Onset of return expected: [N/A SELF PACED]  recorded: 166.6066 ::
return	166.6066
::Onset of trial expected: [N/A SELF PACED]  recorded: 167.2563 ::
trial	167.2563
::Onset of return expected: [N/A SELF PACED]  recorded: 167.9735 ::
return	167.9735
::Onset of trial expected: [N/A SELF PACED]  recorded: 168.6066 ::
trial	168.6066
::Onset of return expected: [N/A SELF PACED]  recorded: 169.3232 ::
return	169.3232
::Onset of trial expected: [N/A SELF PACED]  recorded: 170.0403 ::
trial	170.0403
::Onset of return expected: [N/A SELF PACED]  recorded: 170.7567 ::
