Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
380	2	3	3.675211e-01	-5.383427e-02	4.387122e+00	4.453143e+02	5.469727e+00	7.305779e+01	1	1
381	2	4	8.340255e-01	2.649255e-02	9.604831e+00	9.443875e+02	1.406543e+01	7.814449e+01	1	1
382	2	2	4.349784e-01	-1.804924e-03	1.226980e-01	1.181675e+01	1.738281e-01	5.753962e+01	1	1
383	2	3	4.674109e-01	8.428477e-02	3.965709e+00	4.043977e+02	8.615234e+00	100	1	1
384	2	1	3.849279e-01	-4.518782e-02	2.015878e+00	2.089722e+02	4.687500e+00	100	1	1
385	1	1	5.844463e-01	-2.666035e-02	2.794149e+00	3.143418e+02	3.000000e+00	100	1	1
386	1	2	4.508823e-01	-1.018805e-01	6.597010e+00	6.498828e+02	1.007129e+01	100	1	1
387	1	3	4.513066e-01	5.280315e-03	5.248227e-01	5.173399e+01	7.812500e-01	7.674757e+01	1	1
388	1	4	5.010071e-01	-3.584866e-03	1.689192e+00	1.633551e+02	2.344727e+00	5.708645e+01	1	1
389	1	3	4.333189e-01	-1.113989e-01	5.760430e+00	5.543852e+02	1.076562e+01	100	1	1
390	1	4	5.003117e-01	2.708449e-02	3.461818e+00	3.621386e+02	3.875977e+00	6.788181e+01	1	1
391	1	2	4.182090e-01	5.352425e-02	4.033581e+00	4.575357e+02	6.077148e+00	100	1	1
392	1	1	4.011910e-01	-2.553322e-02	5.926322e-01	6.646567e+01	2.864258e+00	100	1	1
393	1	4	4.004274e-01	-8.412543e-02	3.614834e+00	3.460850e+02	8.073242e+00	100	1	1
394	1	2	4.003321e-01	6.633974e-03	7.603268e-02	7.957741e+00	6.943359e-01	100	1	1
395	1	3	4.010396e-01	-5.068069e-02	4.335320e+00	4.212500e+02	5.188477e+00	5.720158e+01	1	1
396	1	1	4.017783e-01	-3.381797e-02	1.405062e+00	1.514051e+02	3.645508e+00	100	1	1
397	1	4	5.168137e-01	3.118725e-02	2.279393e+00	2.220449e+02	3.039063e+00	100	1	1
398	1	3	4.175162e-01	-1.453531e-01	5.810817e+00	5.824436e+02	1.467285e+01	100	1	1
399	1	1	4.671856e-01	1.081245e-02	8.846121e-01	8.612528e+01	1.052734e+00	100	1	1
400	1	2	4.507071e-01	1.546652e-02	4.564993e-01	4.611401e+01	1.562500e+00	100	1	1
401	3	1	8.497125e-01	-1.066346e-01	9.302764e+00	9.062032e+02	1.042706e+01	100	1	1
402	3	3	5.177211e-01	-4.607433e-02	3.839515e+00	4.141408e+02	4.973226e+00	8.258409e+01	1	1
403	3	4	8.508654e-01	2.021659e-01	6.060022e+00	5.733516e+02	1.939227e+01	100	0	1
404	3	2	6.505472e-01	1.878672e-01	1.067268e+01	9.969565e+02	1.904838e+01	9.152245e+01	0	1
405	3	4	7.347644e-01	1.739977e-01	8.460387e+00	8.380964e+02	1.741250e+01	1.000000e+02	0	1
